NO.,发生日期,完成日期,设备编号,设备模组,故障类别,异常描述,原因分析,处理方法/临时对策,预防对策/根本改善,处理状态/进度,对应人,备注说明
115,2022-09-27,2022-09-27,AICP01,PM3,工艺参数异常,连续阻抗报警,"chamber 环境变差，RF time =204hrs,need PM",RF TIME在 200+-10HRS内进行PM,RF TIME在 200+-10HRS内进行PM,已完成,夏小冰,
116,2022-09-27,2022-09-27,APVD01,TM,传送异常,Wafer在cool station破片,可能因应力或聚冷聚热导致wafer破片,开腔PM清理破片后复机测试正常,,已完成,毛锐,
117,2022-09-27,2022-09-27,ATRM01,Other,厂务端异常,设备down机,厂务CDA异常导致设备异常,关机重启设备及软件后恢复,,已完成,毛锐,
118,2022-09-28,2022-09-28,ATRM01,Computer,部品不良,电脑风扇不转，引起高温电脑关机,电脑散热风扇老化故障,采购国产风扇替代更换并测试ok,,已完成,毛锐,
119,2022-09-28,2022-09-28,AEGN01,PM,厂务端异常,设备down机，CP alarm,厂务CDA异常导致设备异常,关机重启设备及软件并再生CP后恢复,,已完成,陈杨,
120,2022-09-28,2022-09-28,ARST01,Other,厂务端异常,量测无法初始化,厂务CDA异常导致设备异常,重启大电后恢复,,已完成,陈杨,
121,2022-09-28,2022-09-29,ALIF01,Other,部品不良,"Buffer tank sensor error,导致NMP一直处于供给状态，溢出后导致其它sensor异常",Buffer tank sensor故障,更换故障品sensor并测试OK,损耗件，备件采购备货，故障更换处理,已完成,夏玉柱,
122,2022-09-28,2022-09-28,ATRM01,Other,真空异常,干泵自动关机,干泵异常,关机重启干泵OK,,已完成,陈杨,
123,2022-09-28,2022-09-28,AICP01,Other,其它,Run货中途Mech pump停止运行,排风受阻，压力较大4PSI,手动调节控制阀，减小压力,联系厂务疏通排风管道,已完成,王玉亮,
124,2022-09-29,2022-09-30,ATRM01,PM,部品不良,背He报警,PHi Axis气管漏气,更换PHi Axis气管后恢复,损耗件，备件采购备货，故障更换处理,已完成,陈杨,
125,2022-10-01,,ASCR01,Other,厂务端异常,CVD Scrubber CW持续进水，从排风管道漏出,假期无人巡检，厂务停CW后开启压力过大，造成设备淋水（PLC损坏）,,,处理中,张林,
126,2022-10-04,2022-10-04,AICP01,PM3,传送异常,PM3 掉片,Pump排风受阻，腔内环境异常,临时PM处理chamber,疏通排风,已完成,夏小冰,
127,2022-10-06,2022-10-07,AICP01,PM3,传送异常,PM3 掉片,"1.Dry pump 尾气酸排管路堵死导致回灌；
2.Chuck表面有异物需PM处理","1.PM3重新PM,检查确认传片正常。
2.Dry pump 排风异常，pump尾气酸排管路堵死，疏通后pump 恢复正常.",重新检讨并定义PM范畴及周期并执行,已完成,张林,
128,2022-10-10,2022-10-10,ACVD01,Other,调试不良,W4 传片时Aligner 异常报警,传片时发生滑片,Abort该片并后续补镀完成,开腔PM并检查确认,已完成,毛锐,
129,2022-10-10,2022-10-10,APVD01,L/UL,厂务端异常,干泵因跳电关机，wafer无法传送动作,厂务电力异常跳闸,电力恢复后重新开启干泵并复机后正常,,已完成,毛锐,
130,2022-10-11,2022-10-11,AACW01,Other,其它,Tank10# Sensor异常,,拆借备用（暂停用）tank module sensor,,处理完待观察,夏玉柱,
131,2022-10-11,2022-10-11,ACVD01,TM,传送异常,S1完成后传出cassette未完全到位发生报警,传片时发生滑片,Vent后其余wafer重新补做完成,开腔PM并检查确认,已完成,毛锐,
132,2022-10-12,2022-10-12,ACVD01,TM,传送异常,S1完成后传出cassette未完全到位发生报警,传片时发生滑片,Vent后其余wafer重新补做完成,开腔PM并检查确认,已完成,陈杨,
133,2022-10-12,2022-10-12,ACVD01,TM,传送异常,S1完成后传出cassette未完全到位发生报警,传片时发生滑片,Vent后其余wafer重新补做完成,开腔PM并检查确认,已完成,毛锐,
134,2022-10-13,2022-10-13,ATRM01,PM,腔体环境异常,制程中He背压异常报警,chamber内破片残渣较多，累积在stage上,开腔PM清洁处理,破片监控监管，及时对chamber进行PM预防,已完成,毛锐,
135,2022-10-15,2022-10-15,AICP01,PM1,腔体环境异常,制程中PM1掉片,反应物引起stage沉积，导致滑片,开腔PM处理,PM1定期做PM处理并优化recipe,已完成,王玉亮,
136,2022-10-17,2022-10-17,AEGN01,PM,操作不当,Ti靶材颜色异常，形状异常,Ti坩埚添加Al粒,清理坩埚，重新融药,增加人为管控，人为确认,已完成,陈杨,
137,2022-10-17,2022-10-17,AREL01,TM,Wafer 异常,wafer传送过程中被夹在PM-TM闸阀间,薄片应力变形造成传送剐蹭引起滑片,开腔PM处理,,已完成,夏玉柱,
138,2022-10-17,2022-10-17,AWFM01,Computer,MES系统异常,打标机自动扫码后无响应,MES系统通讯断线,重新插拔网线并MES系统后台刷新OK,,已完成,毛锐,
139,2022-10-19,2022-10-20,AEGN01,PM,工艺参数异常,Al速率不稳,灯丝变形，坩埚材料没预熔好,更换灯丝，Al靶材融药,定期检查灯丝,已完成,陈杨,
140,2022-10-20,2022-10-21,APVD01,TM,传送异常,Aligner Error Response,"1.Wafer边缘有大颗粒残胶影响aligner判测；
2.Aligner unit脏污干扰",取出wafer并对Aligner进行PM处理,wafer投片及过程监控,已完成,陈杨,
141,2022-10-21,2022-10-21,APAC01,Other,软件异常,部分量测数据无法上传,软件bug,重启电脑后恢复,定期清理缓存,已完成,陈杨,
142,2022-10-23,2022-10-23,AICP01,PM1,腔体环境异常,Processing中途掉片,反应物引起stage沉积，导致滑片,开腔PM处理,PM1定期做PM处理,已完成,夏小冰,
143,2022-10-23,2022-10-24,AREL01,PM,部品不良,run货时都会出现Warning:Lower Chamber Pressure Drop,"Throttle valve o-ring破损；
PM腔内碎渣较多",更换损坏O-RING并对PM CHAMBER进行清洁处理,预备备用parts并定期PM监管,已完成,"张林
毛锐",
144,2022-10-24,2022-10-24,AICP01,PM3,腔体环境异常,Processing中途掉片,反应物引起stage沉积，导致滑片,开腔PM处理,PM3定期做PM处理,已完成,"张林
毛锐
王玉亮",
145,2022-10-24,2022-10-24,AEGN01,Computer,软件异常,控制软件异常,电脑软件bug或占用内存资源过多,重启软件及PC后测试OK,定期重启电脑和软件,已完成,陈杨,
146,2022-10-24,2022-10-25,AREL01,PM,部品不良,LOW chamber与UP chamber 之间有漏,产品碎片掉入闸阀门之间引起密封不良,开腔PM处理,实时定期做PM处理,已完成,夏玉柱,
147,2022-10-25,2022-10-25,ATRM01,TM,Wafer 异常,Aligner alarm,wafer notch口附近有peeling对aligner检测有干扰,开腔取出wafer同时对TM及aligner进行clean处理，wafer检查发现peeling并进行处理后测试OK,wafer作业前目测检查,已完成,"毛锐
启航",P lot薄片
148,2022-10-26,2022-10-27,AICP01,PM1,腔体环境异常,ICP PM1掉片,反应物引起stage沉积，导致滑片,开腔PM处理,PM1定期做PM处理,已完成,"张林
毛锐",
149,2022-10-31,2022-10-31,AAFM01,Other,其它,红光发生异常，激光器发出异响,系统或软件卡死,整机重启后机台恢复,后续观察确认,已完成,陈杨,
150,2022-10-31,2022-10-31,ACVD01,PM,腔体环境异常,S1 U%超出spec,CVD腔体环境差异,开腔PM处理,PM定期做PM处理,已完成,陈杨,
151,2022-11-01,2022-11-02,AICP01,Computer,软件异常,ICP主机故障，无法启动,电脑主机主板故障,"1.临时调用PECVD电脑主机代用；
2.故障电脑主机寻工控机维修厂商委外维修","1.寻专业主板维修厂商备份；
2.采购原厂电脑主机预备。",已完成,"郝梁博
毛锐",
152,2022-11-03,2022-11-04,AICP01,PM1,操作不当,ICP PM1掉片,未按RUN货制程规则进行clean导致沉积物积累，从而引起E-chuck不良而掉片,开腔PM处理,严格按照RUN货制程规则操作机台,已完成,毛锐,
153,2022-11-04,2022-11-04,AICP01,PM1,Wafer 异常,ICP PM1掉片,wafer背面较脏，且为实验性测试wafer,开腔PM处理,RUN货点检确认wafer状况,已完成,毛锐,敦伟实验片
154,2022-11-04,2022-11-05,AICP01,PM3,传送异常,ICP PM3掉片,腔体环境变差,开腔PM处理,,已完成,"陈杨
夏小冰",
155,2022-11-05,2022-11-07,ACVD01,L/UL,传送异常,BL Mapping报错异常,BL DOOR 铰链松脱,点检并紧固门铰链,季度保养项目中新增此点检项目,已完成,毛锐,
156,2022-11-05,2022-11-05,ACVD01,PM,工艺参数异常,S1 U%超出spec,stage 固定(铜杆)松,分解并PM处理,,已完成,"张林
毛锐",
157,2022-11-06,2022-11-06,APVD01,L/UL,传送异常,监控片在coolstation破片,"1.监控片在RS55时受到隐形损伤
2.N2 充入量过快，聚冷聚热引起",开腔并PM处理,后续观察确认,已完成,"夏玉柱
石正强",RUN批次MA221101002监控片时
158,2022-11-07,2022-11-07,ASCR01,Other,其它,液位偏低检测NG报警,补水排水偶发性检测异常,重新手动供水后恢复,后续观察适时修正,已完成,王玉亮,
159,2022-11-07,2022-11-07,AICP01,PM2,传送异常,ICP PM2掉片,停机较久腔体环境变差,开腔PM处理,适时PM处理,已完成,王玉亮,
160,2022-11-08,2022-11-08,ARST01,Other,传送异常,Stage无法升起来,软件/程序bug卡死，设备老旧,重启设备后恢复,适时重启设备处理,已完成,沈启航,
161,2022-11-09,2022-11-09,AICP01,PM1,传送异常,ICP PM1掉片,腔体环境差异,开腔PM处理,PM定期做PM处理,已完成,张林,
162,2022-11-09,2022-11-09,AICP01,PM1,传送异常,ICP PM1掉片,"工艺或wafer影响；
腔体环境差异",开腔PM处理,"PM定期做PM处理
工艺进行优化验证",已完成,王玉亮,
163,2022-11-09,2022-11-10,AREL01,TM,传送异常,WAFER在robot arm上滑出，传送异常报警,薄片-跑货造成,开腔取出wafer并复位设备报警,NA，异常时适时处理,已完成,"毛锐
夏小冰",
164,2022-11-12,2022-11-12,AREL01,PM,真空异常,真空压力异常报警,LOW /UP chamber之间有漏,开腔PM处理,PM定期做PM处理,已完成,夏玉柱,
165,2022-11-12,2022-11-12,ATHK01,Other,其它,椭偏仪报警操作异常,软件bug,重启电脑后恢复,NA，异常时适时处理,已完成,"夏玉柱
石正强",
166,2022-11-12,2022-11-12,AEGN01,Computer,软件异常,S/W 软件闪退,软件bug,重启软件后测试OK,NA，异常时适时处理,已完成,"夏玉柱
石正强",
167,2022-11-13,2022-11-13,AICP01,PM1,腔体环境异常,ICP PM1 Run货过程掉片,"工艺或wafer影响；
腔体环境差异",开腔PM处理,"PM定期做PM处理
工艺进行优化验证",已完成,王玉亮,
168,2022-11-17,2022-11-17,AEGN01,PM,部品不良,电子枪灯丝烧断报警,耗材消耗,开腔更换灯丝,定期监控消耗品的使用寿命时间,已完成,石正强,
169,2022-11-17,2022-11-17,APRF01,Other,软件异常,软件卡死无法操作,软件/程序bug,进行软件关机处理，恢复正常,NA，异常时适时处理,已完成,石正强,
170,2022-11-17,2022-11-17,ASCR01,Other,其它,液位低警报,管路里面有脏污,进行拆卸清理,NA，异常时适时处理,已完成,张林,
171,2022-11-18,2022-11-30,ACVD01,L/UL,传送异常,BL Mapping报错异常,光感传感器参数异常,修正光感传感器参数并重新校正后解决,NA，异常时适时处理,已完成,"郝梁博
毛  锐",
172,2022-11-21,2022-11-21,AICP01,PM1,腔体环境异常,ICP PM1 Run货过程掉片,"工艺或wafer影响；
腔体环境差异",开腔PM处理,"PM定期做PM处理
工艺进行优化验证",已完成,张林,
173,2022-11-21,2022-11-21,AEGN01,PM,部品不良,蒸发速率异常报警频繁,电子枪枪头老化，积碳造成绝缘性不良,电子枪枪头全面保养,定期PM清洁处理,已完成,毛锐,
174,2022-11-22,2022-11-22,AICP01,PM1,腔体环境异常,ICP PM1 Run货过程掉片,"工艺或wafer影响；
腔体环境差异",开腔PM处理,"PM定期做PM处理
工艺进行优化验证",已完成,"夏小冰
陈  扬",
175,2022-11-26,2022-11-26,APVD01,L/UL,软件异常,VCEA不能load,通讯连接异常,关闭软件及硬件并重启，通讯连接正常,NA，异常时适时处理,已完成,陈  扬,
176,2022-11-28,2022-11-28,AEGN01,PM,工艺参数异常,制程中蒸发速率异常导致报警,材料预熔不充分，速率控制信号突变等,复位报警信号，当前层继续OK,NA，异常时适时处理,已完成,陈  扬,
177,2022-11-30,2022-12-06,APVD01,PM1,部品不良,"Mo腔冷泵一级冷头问题25K左右，
多次再生无效","冷泵本体异常，维保厂商处理不到位或内
部部件故障","1.临时修改温度报警卡控范围，后续更换维保厂商替换泵
2.多次再生后温度回到11K-正常",NA，异常时适时处理,已完成,"敦伟
毛锐",
178,2022-11-30,2022-11-30,ALIF01,Other,调试不良,液位sensor异常报警,S/D 1液路中有气泡导致传感器误判,消除气泡并调整使传感器恢复正常，排液补液测试正常后复位即可,NA，异常时适时处理,已完成,"郝梁博
毛  锐",
179,2022-11-30,2022-11-30,ATHK01,Other,传送异常,手臂抓取wafer报警：failed to pick,手臂真空吸盘不良,酒精清洁手臂并重新retry后正常,设备的定期点检确认机制落实执行,已完成,夏小冰,
180,2022-12-02,2022-12-02,AEGN01,PM,工艺参数异常,制程中蒸发速率异常导致报警,晶控触点接触不良,更换晶控弹簧触点,定期检查晶控触点并适时调整确认,已完成,陈  扬,
181,2022-12-02,2022-12-02,APVD01,TM,腔体环境异常,Aligner alarm,"腔室内particle较多需PM清理
（ALScN实验造成？）",开腔PM清洁处理,NA，异常时适时处理,已完成,毛锐,
182,2022-12-03,2022-12-04,AASH01,PM,部品不良,slit valve took too long to open,slit valve 密封不良,更换slit valve O-ring,定期PM清洁处理,已完成,"陈杨
王玉亮",
183,2022-12-07,2022-12-08,APVD01,PM3,调试不良,AIScN chamber wafer传送位置偏移,shield 安装位置偏移或高温变形,开腔检查并调整shield安装位置测试OK,Double check shield position when PM,已完成,"敦伟
毛锐",
184,2022-12-08,2022-12-08,AICP01,PM1,腔体环境异常,ICP PM1 Run货过程掉片,"工艺或wafer影响；
腔体环境差异",开腔PM处理,"PM定期做PM处理
工艺进行优化验证",已完成,"陈扬
王玉亮",
185,2022-12-12,2022-12-12,ASCR01,Other,其它,voltage low,,,,已完成,"张林
夏小冰",
186,2022-12-27,2022-12-28,AICP01,PM1,腔体环境异常,ICP PM1 Run monitor过程掉片,腔体环境差异,开腔PM处理,"PM定期做PM处理
工艺进行优化验证",已完成,夏小冰,
